name,emission_label,justification,topic,probability,topic_name
Board Minutes: Consideration of Climate Change Factors,Greenhouse Gas Removals,"The focus on long-lived storage methods for greenhouse gas removals emphasizes the importance of ensuring that carbon storage is stable and effective over long periods, which is crucial for mitigating climate change impacts.",1,1.0,Carbon and Fuel Emissions
Board Minutes: Consideration of Climate Change Factors,Climate Risk Exposure,"Incorporating climate risk considerations into board decision-making helps the organization identify and manage potential adverse effects of climate change, thereby enhancing its resilience to climate-related disruptions.",4,0.9072233672141292,Physical Climate Risks
Board Paper Implementing Net Zero for SMEs,Electricity Emissions,"The clause emphasizes the transition to 100% renewable electricity, which directly targets emissions from electricity consumption, reducing reliance on fossil fuel-based power generation.",2,0.727695187537803,Energy and Heat Consumption
Board Paper Implementing Net Zero for SMEs,Fossil Fuel Emissions,"By establishing a plan to replace non-renewable fuel suppliers, the clause aims to mitigate emissions associated with the combustion of fossil fuels in operations and logistics.",1,0.9077193234380373,Carbon and Fuel Emissions
Board Paper Implementing Net Zero for SMEs,Transport Emissions,"The focus on transitioning to a zero-emission vehicle fleet addresses emissions from transportation, encouraging the use of greener travel alternatives and reducing the carbon footprint of business travel.",3,0.7767918187933025,Travel and Commuting
Board Paper Implementing Net Zero for SMEs,Waste Emissions,"The clause encourages the identification and reduction of other avoidable greenhouse gas emissions, which includes emissions from waste generation and management practices.",0,0.7548798011316139,Waste and Construction Emissions
Board Paper Implementing Net Zero for SMEs,Supply Chain Emissions,"By integrating emissions-reduction terms in contracts with suppliers, the clause seeks to address emissions generated throughout the supply chain, promoting accountability and sustainability in procurement practices.",0,1.0,Waste and Construction Emissions
CLLS Certificate of Title: Climate Change Disclosures,Energy Consumption,"The clause emphasizes the importance of energy performance certificates (EPCs) and mandates improvements in energy efficiency, which directly relates to reducing energy consumption in buildings.",2,1.0,Energy and Heat Consumption
CLLS Certificate of Title: Climate Change Disclosures,Building Materials,"It encourages the use of reused, reclaimed, recycled, and sustainable materials in construction and alterations, which helps to minimize emissions associated with the production and transportation of new building materials.",0,1.0,Waste and Construction Emissions
CLLS Certificate of Title: Climate Change Disclosures,Operational Emissions,"By requiring tenants to maintain or improve the energy performance of the property, the clause addresses operational emissions that arise from heating, cooling, and electricity use in buildings.",-1,0.0,Outliers / Misc
CLLS Certificate of Title: Climate Change Disclosures,Waste Management,"The clause promotes sustainability practices that can lead to better waste management, particularly through the use of recyclable materials and the reduction of construction waste, which contributes to lower emissions from landfills.",0,1.0,Waste and Construction Emissions
CLLS Certificate of Title: Climate Change Disclosures,Water Usage,"Water usage is indirectly addressed through the emphasis on energy efficiency and sustainable practices, as efficient water management can reduce the energy required for heating and pumping water, thus lowering associated emissions.",5,1.0,Water and Wastewater
Capital Markets ESG Due Diligence Questionnaire,Carbon Dioxide,"The clause emphasizes the importance of setting Net Zero Targets and Science-Based Targets, which directly relates to the reduction of Carbon Dioxide emissions from various operational activities.",1,1.0,Carbon and Fuel Emissions
Capital Markets ESG Due Diligence Questionnaire,Methane,"By requiring companies to assess and report on their GHG emissions, including methane, the clause encourages practices that can mitigate methane emissions from sources such as landfills and agricultural operations.",1,1.0,Carbon and Fuel Emissions
Capital Markets ESG Due Diligence Questionnaire,Nitrous Oxide,"The focus on climate risk management and transition planning includes strategies to reduce Nitrous Oxide emissions, particularly from agricultural practices and industrial processes.",1,0.9936519623345671,Carbon and Fuel Emissions
Capital Markets ESG Due Diligence Questionnaire,Fugitive Emissions,"The clause's emphasis on independent verification of GHG emissions reporting helps to identify and reduce Fugitive Emissions, which can occur during the extraction and transportation of fossil fuels.",1,1.0,Carbon and Fuel Emissions
Capital Markets ESG Due Diligence Questionnaire,Black Carbon,"By promoting energy efficiency and sustainable practices, the clause indirectly addresses the reduction of Black Carbon emissions, which are produced from incomplete combustion of fossil fuels and biomass.",1,1.0,Carbon and Fuel Emissions
"Carbon Contract Clauses for Environmental Performance, and Associated Incentives and Remedies",Methane Emissions,"The clause encourages suppliers to set and meet emissions targets, which can include reductions in methane emissions from agricultural practices or waste management processes, thereby directly addressing a potent greenhouse gas.",1,1.0,Carbon and Fuel Emissions
"Carbon Contract Clauses for Environmental Performance, and Associated Incentives and Remedies",Nitrous Oxide Emissions,"By requiring suppliers to report and reduce their total emissions, the clause can help mitigate nitrous oxide emissions, particularly from fertilizer application in agricultural operations, which is a significant contributor to climate change.",1,1.0,Carbon and Fuel Emissions
"Carbon Contract Clauses for Environmental Performance, and Associated Incentives and Remedies",Fugitive Emissions,"The clause's focus on continuous emissions reduction can lead to the identification and mitigation of fugitive emissions, such as those from leaks in natural gas systems or industrial processes, which are often overlooked but can be substantial.",1,1.0,Carbon and Fuel Emissions
"Carbon Contract Clauses for Environmental Performance, and Associated Incentives and Remedies",Process Emissions,"The requirement for suppliers to develop and implement plans to meet emissions targets can also address process emissions, which are released during the manufacturing of products, thus promoting cleaner production methods.",0,1.0,Waste and Construction Emissions
Carbon Footprint Reduction – Mutual Notification Right (Carbon Footprint Reduction Notice),Transportation Emissions,"The clause encourages parties to minimize the carbon footprint associated with transportation activities, which can include emissions from vehicles used in the supply chain.",3,1.0,Travel and Commuting
Carbon Footprint Reduction – Mutual Notification Right (Carbon Footprint Reduction Notice),Manufacturing Emissions,"By allowing modifications to reduce the carbon footprint, the clause can lead to changes in manufacturing processes that lower emissions from production activities.",0,1.0,Waste and Construction Emissions
Carbon Footprint Reduction – Mutual Notification Right (Carbon Footprint Reduction Notice),Waste Management Emissions,"The clause promotes waste reduction strategies, which can help decrease emissions associated with waste management and disposal.",0,1.0,Waste and Construction Emissions
Carbon Footprint Reduction – Mutual Notification Right (Carbon Footprint Reduction Notice),Energy Consumption Emissions,Encouraging energy-efficient practices through mutual obligations can lead to a reduction in emissions from energy consumption during the execution of contractual obligations.,2,0.8331925683578121,Energy and Heat Consumption
Circular Economy Product Design Obligation,Manufacturing Emissions,"The clause emphasizes minimizing the volume of resources required to manufacture the product, which directly reduces emissions associated with energy consumption and raw material extraction during the manufacturing process.",0,1.0,Waste and Construction Emissions
Circular Economy Product Design Obligation,Waste Emissions,"By promoting repair, reuse, and recycling, the clause aims to reduce waste emissions that occur when products are disposed of, thereby decreasing landfill emissions and the associated greenhouse gases.",0,0.7548798011316139,Waste and Construction Emissions
Circular Economy Product Design Obligation,Material Production Emissions,"The focus on using recycled materials in production helps to lower emissions from the extraction and processing of virgin materials, which are typically more carbon-intensive.",0,1.0,Waste and Construction Emissions
Circular Economy Product Design Obligation,Transportation Emissions,"The clause encourages the tracking of raw material origins and volumes, which can help identify and reduce emissions related to the transportation of materials throughout the supply chain.",3,1.0,Travel and Commuting
Circular Economy Product Design Obligation,Chemical Emissions,"The requirement to avoid harmful chemicals that hinder recycling processes helps mitigate emissions from chemical production and disposal, which can contribute to air and water pollution.",1,0.8523989905317357,Carbon and Fuel Emissions
Climate-Linked Contractual Discretions,Fugitive Emissions,"Fugitive emissions can occur during the extraction and transportation of fossil fuels. By linking payment and performance to climate objectives, the clause incentivizes the counterparty to minimize leaks and emissions during these processes.",1,1.0,Carbon and Fuel Emissions
Climate-Linked Contractual Discretions,Process Emissions,"Process emissions are generated from chemical reactions necessary to produce goods. The clause encourages reporting on emissions, which can lead to improved practices and technologies that reduce these emissions in manufacturing processes.",0,1.0,Waste and Construction Emissions
Climate-Linked Contractual Discretions,Transportation Emissions,"Transportation emissions arise from the movement of goods and services. By incorporating climate objectives into contractual obligations, the clause promotes the use of low-emission transportation methods, thereby reducing the carbon footprint associated with logistics.",3,1.0,Travel and Commuting
Climate-Linked Contractual Discretions,Energy Use Emissions,"Energy use emissions are produced from the consumption of electricity and heat in operations. The clause's focus on climate objectives encourages the counterparty to adopt energy-efficient practices and renewable energy sources, leading to a reduction in emissions from energy consumption.",2,0.9727365335000323,Energy and Heat Consumption
Climate-Linked Product Surveillance,Product Safety Risks,"The clause addresses Product Safety Risks by requiring parties to assess the impact of climate change on product safety, which can help prevent unsafe products from reaching consumers due to climate-related factors.",4,1.0,Physical Climate Risks
Climate-Linked Product Surveillance,Supply Chain Disruptions,"By mandating periodic reviews and assessments, the clause aims to mitigate Supply Chain Disruptions that may arise from climate change events, ensuring that products remain compliant and safe throughout their service life.",0,1.0,Waste and Construction Emissions
Climate-Linked Product Surveillance,Material Degradation,"The clause considers Material Degradation due to climate change, prompting parties to evaluate how changing climate conditions may affect the integrity and safety of product materials over time.",-1,0.0,Outliers / Misc
Climate-Linked Product Surveillance,Waste Generation,The requirement to notify and take corrective actions in response to climate-related safety issues can help reduce Waste Generation by ensuring that products are not prematurely discarded or recalled without proper assessment.,0,1.0,Waste and Construction Emissions
Climate-Linked Product Surveillance,Energy Consumption,"The clause encourages parties to consider Energy Consumption in their corrective actions, ensuring that any measures taken do not lead to increased energy use or adverse climate outcomes.",2,1.0,Energy and Heat Consumption
Climate-Related Disclosure in Loans,Physical Risk Emissions,"The clause addresses Physical Risks of climate change, which can lead to increased emissions from operational disruptions, such as those caused by extreme weather events affecting infrastructure and supply chains.",4,0.6663146641479852,Physical Climate Risks
Climate-Related Disclosure in Loans,Transition Risk Emissions,"Transition Risks associated with moving towards a Net Zero economy can result in emissions from outdated technologies and processes. The clause encourages companies to identify and mitigate these risks, thereby reducing potential emissions during the transition.",4,0.6193530856880743,Physical Climate Risks
Climate-Related Disclosure in Loans,Water Resource Emissions,"Sustainable Water and Marine Resource Use can help reduce emissions related to water extraction and treatment processes, which often involve significant energy consumption and associated greenhouse gas emissions.",5,1.0,Water and Wastewater
Climate-Related Disclosure in Loans,Pollution Emissions,"Pollution Prevention and Control measures outlined in the clause can lead to reduced emissions from various pollutants, including volatile organic compounds (VOCs) and particulate matter, which are often byproducts of industrial processes.",1,0.9807520723891759,Carbon and Fuel Emissions
Climate-Related Knowledge Sharing Between Insurer and Insured,Physical Risks,"The clause addresses Physical Risks by prompting the Insured to assess and manage risks related to extreme weather events, sea-level rise, and other climate impacts that could damage assets and disrupt operations.",4,1.0,Physical Climate Risks
Climate-Related Knowledge Sharing Between Insurer and Insured,Transition Risks,"Transition Risks are mitigated as the Insurer encourages the Insured to adopt sustainable practices and technologies, reducing reliance on fossil fuels and aligning with regulatory changes aimed at reducing emissions.",4,0.8268120591753667,Physical Climate Risks
Climate-Related Knowledge Sharing Between Insurer and Insured,Liability Risks,"Liability Risks are reduced through the knowledge sharing and reporting requirements, which help the Insured understand their potential legal exposure related to climate change impacts, thus promoting proactive measures to avoid claims.",4,1.0,Physical Climate Risks
Climate-Related Liability Cover (Commercial Insureds),Extreme Weather Damage,"This clause provides coverage for damages resulting from extreme weather events, which are becoming more frequent due to climate change. By offering liability coverage, it encourages businesses to adopt practices that mitigate their contributions to climate change, thereby reducing the risk of extreme weather-related damages.",4,1.0,Physical Climate Risks
Climate-Related Liability Cover (Commercial Insureds),Flooding Liability,"Flooding is a significant climate-related risk that can cause extensive property damage. The clause addresses liability for damages caused by flooding, incentivizing businesses to implement flood resilience measures and reduce their impact on local water systems.",4,0.8268120591753667,Physical Climate Risks
Climate-Related Liability Cover (Commercial Insureds),Heat-Related Injuries,"Heat-related injuries can occur in workplaces that are not adequately prepared for rising temperatures. This clause encourages businesses to consider climate resilience in their operations, potentially leading to improved workplace safety measures that protect employees from heat stress.",-1,0.0,Outliers / Misc
Climate-Related Liability Cover (Commercial Insureds),Air Quality Deterioration,"Poor air quality can be exacerbated by climate change and can lead to health issues for employees and the surrounding community. By covering liability for climate-related damages, the clause encourages businesses to adopt cleaner technologies and practices that improve air quality.",-1,0.0,Outliers / Misc
Climate-Resilient Landscape Design Contracts,Soil Carbon Loss,"The clause promotes the use of native flora and habitats, which can enhance soil carbon storage and reduce soil carbon loss by maintaining healthy ecosystems that sequester carbon.",6,1.0,Soil and Biodiversity
Climate-Resilient Landscape Design Contracts,Biodiversity Loss,"By requiring a biodiversity gain, the clause directly addresses biodiversity loss, which is critical for maintaining ecosystem services that can mitigate climate impacts.",6,1.0,Soil and Biodiversity
Climate-Resilient Landscape Design Contracts,Urban Heat Emissions,"Utilizing open space in an environmentally efficient manner can help reduce urban heat emissions by increasing vegetation cover, which cools the environment and reduces the need for energy-intensive cooling systems.",2,0.4250123480914841,Energy and Heat Consumption
Climate-Resilient Landscape Design Contracts,Water Runoff Pollution,"The emphasis on nature-based solutions and proper landscaping can help manage water runoff, reducing pollution from stormwater that can lead to increased emissions from water treatment processes.",8,1.0,Runoff and Pollution
Climate Aligned Construction Waste Management,Construction Waste Emissions,"The clause emphasizes efficient management of materials and waste, which directly reduces emissions associated with the disposal of construction waste, thereby minimizing Construction Waste Emissions.",0,1.0,Waste and Construction Emissions
Climate Aligned Construction Waste Management,Landfill Methane Emissions,"By promoting the diversion of Waste Materials from landfills, the clause helps mitigate Landfill Methane Emissions, which are produced during the decomposition of organic waste in anaerobic conditions.",1,1.0,Carbon and Fuel Emissions
Climate Aligned Construction Waste Management,Transportation Emissions,"The requirement for the Contractor to manage waste effectively and propose amendments to reduce Waste Materials can lead to decreased Transportation Emissions, as less waste means fewer trips to disposal sites.",3,1.0,Travel and Commuting
Climate Change Clauses for Heads of Terms,Fugitive Emissions,"Fugitive emissions may arise from leaks in equipment or processes during the proposed transaction. The clause emphasizes minimizing GHG emissions, which can help identify and mitigate these leaks.",1,1.0,Carbon and Fuel Emissions
Climate Change Clauses for Heads of Terms,Process Emissions,Process emissions are generated from chemical reactions necessary to produce goods. The commitment to reduce GHG emissions in the transaction can lead to the adoption of cleaner technologies or processes that lower these emissions.,0,1.0,Waste and Construction Emissions
Climate Change Clauses for Heads of Terms,Transportation Emissions,"Transportation emissions occur from the movement of goods and services related to the transaction. By incorporating emissions-reduction targets, the parties can optimize logistics and transportation methods to reduce these emissions.",3,1.0,Travel and Commuting
Climate Change Clauses for Heads of Terms,Energy Use Emissions,"Energy use emissions are associated with the consumption of energy in operations. The clause encourages the parties to work together to identify energy-efficient practices and technologies, thereby reducing emissions from energy consumption.",2,0.9727365335000323,Energy and Heat Consumption
Climate Change Clauses for Heads of Terms,Waste Management Emissions,"Waste management emissions result from the disposal and treatment of waste generated during the transaction. The focus on emissions reduction can lead to better waste management practices, including recycling and waste minimization strategies.",0,1.0,Waste and Construction Emissions
Climate Change Due Diligence Questionnaire for Suppliers,Fugitive Emissions,"The clause requires suppliers to disclose their GHG emissions and carbon footprint measurements, which can include fugitive emissions from equipment leaks and other unintentional releases during operations.",1,1.0,Carbon and Fuel Emissions
Climate Change Due Diligence Questionnaire for Suppliers,Process Emissions,"By asking suppliers about their production processes and sustainability practices, the clause addresses process emissions that occur during manufacturing and service delivery, encouraging practices that minimize these emissions.",0,1.0,Waste and Construction Emissions
Climate Change Due Diligence Questionnaire for Suppliers,Transportation Emissions,"The clause inquires about the Supplier's fleet and travel policies, which directly relates to transportation emissions from the movement of goods and services, promoting the use of electric vehicles and sustainable logistics.",3,1.0,Travel and Commuting
Climate Change Due Diligence Questionnaire for Suppliers,Waste Emissions,"The requirement for suppliers to detail their waste management practices addresses waste emissions, including methane emissions from landfills and emissions from waste treatment processes, encouraging recycling and waste reduction.",0,0.7548798011316139,Waste and Construction Emissions
Climate Change Due Diligence Questionnaire for Suppliers,Energy Use Emissions,"The clause emphasizes the need for suppliers to adopt renewable energy sources and energy management systems, which directly impacts emissions from energy use in operations, promoting a shift away from fossil fuel reliance.",2,0.9727365335000323,Energy and Heat Consumption
