name,Physical-flooding,Physical-wildfire,Physical-heat,Physical-subsidence,Physical-sea-level,Physical-water-scarcity,Physical-extreme-weather,Physical-infrastructure,Physical-general,Transition-mees,Transition-retrofit,Transition-standards,Transition-regulatory,Transition-disclosure,Transition-general,Legal-mees,Legal-tort-liability,Legal-access,Legal-contract,Legal-penalties,Legal-negligence,Legal-insurance,Legal-disclosure,Legal-breach,Legal-general,justification,has_any_label
Climate-Linked Contractual Discretions,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause helps reduce exposure to future retrofit obligations or disputes by clarifying roles, access, and upgrade responsibilities (Transition-retrofit). It also helps reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards (Transition-standards). Additionally, the clause helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks (Transition-disclosure) by requiring parties to report on their achievement of climate objectives and the exercise of discretions based on these objectives.",True
Climate-Linked Product Surveillance,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,"This clause primarily focuses on the proactive assessment and adaptation to climate change impacts on product safety, which aligns with transition-related risks such as retrofitting and aligning with climate adaptation guidance. It also addresses the disclosure of climate-related information between contracting parties, reducing the risk of legal claims due to failure to disclose known or foreseeable climate risks. Additionally, the clause includes provisions for notifying each other of safety issues and taking corrective actions, which helps manage legal exposure related to contract performance and compliance with regulatory requirements.",True
Climate-Related Disclosure in Loans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Climate-Related Knowledge Sharing Between Insurer and Insured,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"This clause promotes knowledge sharing between insurers and insureds regarding climate-related risks and mitigation strategies. It helps mitigate transition-related disclosure risks by ensuring that both parties are informed about climate risks and steps to address them. Additionally, it helps reduce legal exposure to disclosure-related risks, such as misrepresentation or omission of relevant climate risks, by requiring regular reporting and meetings. The clause also addresses general legal exposure by fostering a proactive approach to climate risks, which can help in managing uncertainties and pressures associated with climate change.",True
Climate-Related Liability Cover (Commercial Insureds),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause provides cover for climate-related injury and property damage, which directly addresses potential legal liability claims (Legal-liability) that could arise from such events. It also helps manage general exposure to physical climate risks (Physical-general) by providing insurance coverage for damages caused by climate-related events, thereby reducing the physical impacts on properties and businesses.",True
Climate-Resilient Landscape Design Contracts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Climate Aligned Construction Waste Management,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause focuses on ensuring that construction waste management practices are aligned with climate goals, which helps in reducing greenhouse gas emissions. It also incorporates climate-aligned waste management practices into construction contracts, which is relevant for future retrofitting and aligning with voluntary Net Zero or carbon standards. These aspects are directly related to transition-related risks, such as the need for future climate-aligned practices and the alignment with environmental standards.",True
Climate Change Clauses for Heads of Terms,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,"This clause helps mitigate risks related to transition by promoting decarbonization and net-zero targets, which aligns with transition standards and regulatory expectations. It also includes measures for identifying and mitigating climate risks, which helps in disclosure and compliance. The clause ensures that parties disclose their climate policy engagement and positions, reducing the risk of legal claims related to non-disclosure. Additionally, it covers general legal exposure by ensuring that parties consider climate risks in due diligence and take steps to mitigate them, thus reducing broader legal and regulatory risks.",True
Climate Change Due Diligence Questionnaire for Suppliers,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,"This clause helps mitigate a variety of transition-related risks by ensuring that suppliers are transparent about their climate strategies, targets, and performance. It includes questions about setting Net Zero targets, aligning with the Task Force on Climate-related Financial Disclosures, and reporting on sustainability policies and practices. This aligns with transition standards and helps manage disclosure risks. Additionally, it addresses legal risks related to disclosure, as it ensures that suppliers are aware of and prepared for potential climate-related liabilities and regulatory changes. The general nature of the questions also covers broader legal and transition risks.",True
Climate Checklist for Prospectuses and Other Public Offering Documents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Climate Contract Risk Sharing (ex Force Majeure),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"This clause helps mitigate transition-related risks by promoting cooperation between parties to manage financial and environmental impacts of climate change events and pandemics. It includes provisions for sharing financial risks, maintaining liquidity ratios, and mitigating carbon emissions, which are key aspects of transition planning. Additionally, it addresses legal exposure by ensuring that both parties work together to avoid performance failures and breaches of contract due to climate conditions, thereby reducing the risk of legal disputes. The clause also covers general exposure to climate risks, as it involves planning and mitigation strategies that are not specific to any one type of physical hazard.",True
Climate Due Diligence Questionnaire for M&A Transactions,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,"This clause helps mitigate a variety of risks related to the transition to a low-carbon economy and the legal exposure associated with it. It covers detailed climate-related disclosures, governance, and risk management, which are crucial for transition-related risks. The clause also ensures that the target company is transparent about its climate targets, emissions, and strategies, reducing the risk of legal claims related to disclosure. Additionally, it addresses general legal exposure by ensuring that the company is prepared for potential regulatory changes and climate-related liabilities.",True
Climate Lobbying and Responsible Investments: Policy Requirements,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by ensuring that the counterparty (Party B) aligns its policies and practices with responsible climate engagement and leadership, including net zero goals and Paris Agreement alignment. It addresses standards and disclosure requirements by requiring Party B to maintain policies, regularly review investment alignment, set divestment targets, and provide evidence of compliance. Additionally, it includes provisions for independent audits and potential contract termination for non-compliance, which helps manage transition-related risks such as reputational and commercial risks associated with not aligning to voluntary Net Zero or carbon standards.",True
Climate Policy Footprint,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate exposure to transition-related risks by requiring detailed disclosures about a company's climate policy engagement, lobbying activities, and alignment with Paris Agreement goals. It ensures that the company is transparent about its climate-related activities and strategies, which is crucial for aligning with the Paris Agreement and other climate-related standards. This transparency can help reduce the risk of legal claims related to non-disclosure or misrepresentation of climate-related information, as well as reputational risks associated with not meeting voluntary Net Zero or carbon standards.",True
Climate Purchase Agreement and Underwriting Sponsor Warranties,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,"This clause helps mitigate exposure to disclosure-related risks by requiring the company to disclose its environmental position, performance, and record. It includes detailed warranties and undertakings related to climate risks and opportunities, which can help reduce the risk of legal claims resulting from failure to disclose known or foreseeable climate risks. Additionally, it helps reduce exposure to performance failure or frustration of contract due to climate conditions or adaptation burdens, as it ensures that the company is transparent and accountable in its climate risk management and reporting.",True
Climate Purposed NDA Terms (Confidentiality Agreement),0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-disclosure risks by ensuring that climate change and environmental issues are discussed at the outset of new commercial relationships. It also addresses transition-standards risks by enabling parties to align their commercial purposes with climate goals and targets, particularly in sectors with publicly stated net zero targets. The clause ensures that any information disclosed for these purposes is treated as confidential and subject to specific use and disclosure restrictions, which can help parties avoid legal claims related to the failure to disclose or plan for climate risks.",True
Climate Recitals,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"The clause includes recitals that confirm the parties' intentions to decarbonize and align with the Paris Agreement, which are key aspects of transition standards. It also helps manage general exposure to transition-related risks, such as the pressure to reduce emissions and align with global climate goals, by making climate a central consideration in the contract. This can help mitigate risks associated with not meeting these standards and the broader pressures of decarbonization.",True
Climate Standard Transaction Terms,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate exposure to transition-related risks by promoting the adoption and implementation of sustainability goals and standards. It requires the company to align its operations with climate resilience and low carbon infrastructure, which is in line with the Paris Agreement commitments. The clause also mandates regular reporting and review of sustainability goals, carbon footprint, and climate risk management, which helps in disclosure and compliance with climate-related standards. Additionally, it includes provisions for carbon offsetting and compliance monitoring, which are crucial for reducing exposure to future regulatory and contractual disputes related to climate performance.",True
Climate Standard of Care (Construction),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by requiring Contractors and Service Providers to adhere to best industry practices to mitigate climate risk and ensure that a construction project meets its decarbonisation or net-zero objectives. It aligns the construction project with the goals of the Paris Agreement and ensures that the project can withstand physical climate risks. Additionally, it helps reduce exposure to performance failure or frustration of contract due to climate conditions or adaptation burdens, as it specifies obligations and reporting requirements for achieving net-zero objectives. This makes it relevant for both transition-retrofit and transition-standards categories. Furthermore, it includes provisions for rectification and compliance, which help reduce exposure to legal claims related to contract performance and climate risk management.",True
Commercial Lease: Alterations (improve environmental performance),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on encouraging landlords and tenants to make environmental improvements and align with net zero targets, which helps mitigate the risk of future retrofit obligations and disputes. It also ensures that both parties are committed to climate goals and the Paris Agreement objectives, thereby reducing exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards.",True
Commercial Lease: Repairs and Alterations (circular economy),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on promoting sustainable and circular economy principles in the repair, alteration, and development of properties. It encourages the use of reclaimed, reused, or recycled materials and aims to reduce greenhouse gas emissions, which aligns with net zero targets and the Paris Agreement objectives. This helps reduce exposure to future retrofit obligations and disputes by clarifying roles and responsibilities, and it also helps manage reputational risks associated with not aligning to voluntary Net Zero or carbon standards.",True
Condition to Liability Cover for Climate-Related Claims (Commercial Insureds),0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,"This clause helps mitigate several risks related to transition and legal exposure. It requires the insured to have a robust net zero transition plan in place before accessing insurance for climate-related liability claims, which aligns with transition standards and regulatory requirements. This can help reduce exposure to future retrofit obligations and disputes, as well as reputational risks associated with not aligning to voluntary Net Zero or carbon standards. Additionally, by ensuring the insured has a transition plan, it helps mitigate the risk of legal claims arising from a failure to disclose or plan for climate risks, thus reducing legal disclosure risks. The clause also addresses general legal exposure by promoting good behavior and sustainability, which can help in managing broader climate-related risks.",True
Conservation Covenant for Soil Preservation and Enhancement,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"The clause helps mitigate general physical climate risks by addressing soil preservation and enhancement, which can help in defending against flood and drought, and by reducing emissions from soil. It also helps manage general transition risks by promoting sustainable land use practices and aligning with climate change mitigation efforts, such as reducing chemical fertiliser use and promoting biodiversity. The covenant ensures long-term preservation and enhancement of soil health, which is crucial for adapting to and mitigating the impacts of climate change, and aligns with broader climate goals.",True
Construction : Procuring Materials and Carbon Budgets,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"This clause helps mitigate several risks related to the transition to more sustainable practices and the disclosure of climate impacts. It sets a 'carbon budget' for construction projects, which incentivizes the use of sustainable materials and ensures that the total embodied GHG emissions do not exceed a specified limit. This aligns with the 'Transition-retrofit' category as it promotes the adoption of more sustainable practices. The clause also requires the Contractor to disclose the climate impacts of materials and goods, which is relevant to the 'Transition-disclosure' category. Additionally, the inclusion of liquidated damages for exceeding the carbon budget addresses potential legal disputes and insurance gaps, making it relevant to the 'Legal-insurance' and 'Legal-breach' categories.",True
Coolerplate Clauses (Climate Aligned Boilerplate),0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,"This clause helps mitigate various transition-related risks by embedding climate issues and net zero targets into contracts, which can reduce exposure to future retrofit obligations, regulatory changes, and performance failures. It also addresses disclosure risks by requiring parties to disclose climate-related strategies and targets, and it manages general legal exposure by addressing contract management and dispute resolution in the context of climate risks. The clause ensures that parties consider climate change in their commercial conversations and cascades climate-positive behaviors throughout their contractual documents, thereby aligning with broader transition and disclosure standards.",True
Debt Finance Clauses (and LMA Facility Amendments) Promoting Sustainable Water Usage,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps reduce exposure to future retrofit obligations or disputes by clarifying roles and incentivizing borrowers to implement water reduction strategies and associated greenhouse gas emissions reduction. It also helps reduce exposure to disclosure-related risks, such as misrepresentation or omission of relevant climate transition information, by requiring the borrower to notify the agent of the water sustainability KPIs and provide evidence of meeting the KPIs.",True
ESG-Linked Pricing Adjustment for Derivatives Transactions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"The clause introduces sustainability-linked principles into derivatives documents, which can help manage general exposure to transition-related risks, including regulatory uncertainty or decarbonisation pressure. It also helps reduce exposure to disclosure-related risks, such as misrepresentation or omission of relevant climate transition information, by linking derivatives pricing to ESG performance criteria.",True
ESG Aligned Company Articles,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"The clause helps reduce exposure to transition-related risks by embedding ESG (Environmental, Social, and Governance) considerations into a company’s articles of association. This can help align the company with voluntary Net Zero or carbon standards (Transition-standards), and also manage general exposure to the pressures of decarbonization and climate change (Transition-general).",True
Employee Climate Engagement Provisions,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate exposure to future retrofit obligations and disputes by clarifying roles and responsibilities for climate education and awareness-raising interventions. It also helps reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards. Additionally, it addresses the need for disclosure of climate-related information, which can help reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks.",True
Employer-Employee Environmental Obligations,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps reduce exposure to future retrofit obligations and disputes by encouraging employees to engage in climate-conscious activities during their garden leave or sabbaticals. It also promotes alignment with voluntary Net Zero or carbon standards through the integration of climate-positive outcomes into the employment contract. By incentivizing and supporting employees in these activities, the clause helps companies contribute to the transition to a low-carbon economy and ensures that employees are engaged in climate-related initiatives, thereby reducing the risk of future compliance failures and disputes.",True
Entire Business Net Zero Objectives,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on requiring parties to set and implement net zero targets, develop transition plans, and regularly measure and report on their carbon footprint. This aligns with transition-retrofit as it ensures parties are taking steps to reduce their carbon emissions and align with net zero targets. It also addresses transition-standards by encouraging adherence to recognized standards and initiatives like the Science Based Targets initiative and the Carbon Trust Standard for Supply Chain. Additionally, the requirement to report on climate risks, opportunities, and policy engagement aligns with transition-disclosure, helping to manage the legal and reputational risks associated with failing to disclose and manage climate-related information.",True
"Environmental, Social and Governance (ESG) Based Performance Conditions for Employee Incentive Awards",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Environmental Business Charter,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate exposure to a variety of transition-related risks. It encourages firms to align their business practices with the goals of the Paris Agreement and best practices, which includes setting and working towards net zero targets. This aligns with the 'Transition-retrofit' category as it involves taking initial actions to deliver net zero targets and includes an offset strategy. It also falls under 'Transition-standards' as it promotes adherence to standards like the Science Based Targets initiative and the Race to Zero. The clause also includes requirements for transparency and disclosure, such as measuring and publishing GHG emissions and setting interim targets, which aligns with the 'Transition-disclosure' category. Lastly, it covers a broad range of transition-related activities and considerations, making it relevant to the 'Transition-general' category.",True
Environmental Targets for a Limited Partnership Agreement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Facility Agreement Clauses Promoting Sustainability-Linked Loans within the Cement Industry,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by promoting sustainability-linked loans and setting emissions reduction targets for the cement industry. It includes covenants, representations, and interest rate adjustments based on performance, which are key elements in transitioning to a low-carbon economy. The clause also ensures alignment with regulatory standards and future regulatory changes, thereby reducing exposure to regulatory uncertainties and compliance failures. Additionally, it sets specific performance targets and verification processes, which are crucial for meeting future regulatory requirements and maintaining a good reputation in the industry.",True
Film Production: Carbon Footprint Disclosure,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-disclosure risks by requiring the disclosure of the carbon footprint generated by the production of the film/video. It ensures that this information is publicly available, which can help raise awareness and encourage positive action to reduce greenhouse gas emissions. Additionally, it helps mitigate legal-disclosure risks by addressing potential legal claims that may arise from the failure to disclose known or foreseeable climate risks, such as the carbon footprint of the production.",True
GHG Emissions Management Plans in Infrastructure and Construction Project Finance,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,"This clause helps mitigate various risks related to climate change and transition to a low-carbon economy. It incorporates climate change mitigation into environmental and social standards in finance transactions, which is crucial for managing regulatory uncertainty and ensuring compliance with future legal or policy changes. The clause also requires the adoption of GHG Emissions Management Plans and the submission of GHG Emissions Self-Monitoring Reports, which helps in disclosing climate-related risks and managing performance under contracts. Additionally, it includes provisions for corrective actions and site visits, which can help in addressing breaches and ensuring compliance, thereby reducing exposure to legal claims and penalties.",True
Gain-Share Incentive for Reducing GHG Emissions,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause introduces a gain-share payment for reducing greenhouse gas emissions, which incentivizes a counterparty to decarbonize. This helps mitigate future retrofit obligations as it encourages early action on reducing emissions. Additionally, the clause requires the measurement, management, and reporting of GHG emissions, which helps in disclosing climate-related risks, thereby reducing exposure to legal claims resulting from failure to disclose known or foreseeable climate risks.",True
General Condition to Commercial Insurance Policies: Climate Change Risk Assessment,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate legal disclosure risks by requiring companies to conduct a climate change risk assessment and present it to their Board of Directors. It also aids in managing general transition risks by promoting awareness and understanding of climate-related risks across various business sectors. Additionally, it addresses general physical risks by ensuring that businesses are better informed about the climate-related risks they face, which can help in managing and mitigating these risks.",True
Green Acquisition Obligations,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"This clause helps mitigate exposure to future retrofit obligations and disputes by clarifying the roles and responsibilities of the purchaser in maintaining and improving the target company's green credentials post-acquisition. It also ensures that the company maintains a robust net zero transition plan, aligning with voluntary standards. Additionally, it reduces the risk of performance failure or frustration of contract due to climate conditions or adaptation burdens, as it ties the payment to the company's adherence to climate credentials and targets, thus protecting against legal disputes arising from contractual obligations.",True
Green Assured Shorthold Tenancy (AST) Clauses,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,This clause helps mitigate transition-retrofit risks by incentivizing tenants to engage in sustainable practices and allowing landlords to install renewable energy solutions while the property is occupied. It also helps reduce exposure to legal disclosure risks by requiring tenants to provide evidence of their compliance with green occupation undertakings and allowing landlords to withdraw the green rent rebate if they believe the tenants are not complying with the green practices.,True
Green Company Articles,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by promoting a company's commitment to addressing environmental issues and setting clear targets for emissions reduction and water management. It includes provisions for regular review and reporting of environmental performance, which can help in aligning with Net Zero targets and Paris Agreement goals. The clause also ensures that the company maintains a reputation for high standards of business conduct and minimizes harmful impacts on the environment, which can reduce exposure to future regulatory changes and non-compliance penalties. Additionally, the requirement for an Environmental Report and its audit helps in disclosing climate-related information, reducing the risk of misrepresentation or omission of relevant climate transition information.",True
Green Dispute Reporting in After the Event Insurance Policies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"This clause is designed to ensure that disputes related to insurance policies are conducted in an environmentally friendly manner. It provides the insurer with greater visibility and control over how disputes are handled, which can help reduce legal costs and expenses. By requiring the insured to comply with 'Environmental Best Practice' and report any deviations, the clause helps mitigate the risk of disputes arising from non-compliance with environmental standards. This is particularly relevant for insurance policies that cover climate-related risks, thus reducing the exposure to potential legal claims and insurance gaps.",True
Green Investment Obligations,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on ensuring that the company and its founders take demonstrable steps to set and implement a net-zero target, align with sustainability goals, and report on climate risks and opportunities. This aligns with transition-related risks, including the need for future retrofitting to meet net-zero targets, the importance of disclosure to investors regarding climate-related information, and the alignment with voluntary standards and best practices. The clause also emphasizes the importance of sustainability reporting and the integration of ESG factors, which are key aspects of managing transition risks.",True
Green Litigation and Arbitration Protocols,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"The clause focuses on reducing the environmental impact of legal proceedings and disputes, which can be seen as part of broader efforts to align with net zero targets and reduce greenhouse gas emissions. This aligns with the 'Transition-retrofit' category, as it helps reduce exposure to future retrofit obligations or disputes by clarifying roles, access, and upgrade responsibilities in the context of climate action. Additionally, the clause includes elements of disclosure and transparency, which are relevant to the 'Transition-disclosure' category, as it encourages the measurement and reporting of greenhouse gas emissions. Finally, the overall aim of reducing the environmental impact of legal proceedings can be seen as a general approach to managing legal exposure related to climate risks, fitting under the 'Legal-general' category.",True
