name,Physical-flooding,Physical-wildfire,Physical-heat,Physical-subsidence,Physical-sea-level,Physical-water-scarcity,Physical-extreme-weather,Physical-infrastructure,Physical-general,Transition-mees,Transition-retrofit,Transition-standards,Transition-regulatory,Transition-disclosure,Transition-general,Legal-mees,Legal-tort-liability,Legal-access,Legal-contract,Legal-penalties,Legal-negligence,Legal-insurance,Legal-disclosure,Legal-breach,Legal-general,justification,has_any_label,number_of_labels ,labels 
Climate-Related Liability Cover (Commercial Insureds),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The clause provides cover for climate-related injury and property damage, which directly addresses potential legal liability claims (Legal-liability) arising from such events. It also helps manage general physical climate risks (Physical-general) by offering insurance coverage that can mitigate the financial impact of climate-related damages, thereby reducing the exposure to physical risks.",TRUE,1,Physical-general
Climate-Resilient Landscape Design Contracts,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-related risks by promoting the use of native flora and trees, which can enhance the resilience of the landscape to physical climate risks. It also helps reduce exposure to legal risks, particularly in terms of disclosure, by ensuring that the landscape design includes specific environmental management measures and biodiversity goals. The clause addresses general physical climate risks by incorporating nature-based solutions, which can help mitigate a range of physical hazards such as flooding, heatwaves, and subsidence.",TRUE,3,"Physical-general, Transition-retrofit, Legal-disclosure"
Climate Aligned Construction Waste Management,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on ensuring that materials and waste management practices are aligned with climate goals, which helps reduce exposure to future retrofit obligations or disputes by clarifying roles and responsibilities. It also promotes the use of best practices and amendments to reduce waste, which is relevant to aligning with voluntary Net Zero or carbon standards.",TRUE,2,"Transition-retrofit, Transition-standards"
Climate Change Clauses for Heads of Terms,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-related risks by promoting decarbonization and net-zero targets, which aligns with the transition to a low-carbon economy. It also includes measures to reduce greenhouse gas emissions, identify and implement opportunities for emissions reduction, and offset remaining emissions, which are key aspects of transition-retrofit. The clause also ensures that parties consider financial risks related to climate change, including physical, transition, and litigation risks, which aligns with transition-standards. Additionally, the requirement to disclose climate policy engagement and public policy positions that may support or undermine the goals of the Paris Agreement helps mitigate transition-disclosure risks. Lastly, the clause ensures that parties disclose relevant climate risks, which helps mitigate legal-disclosure risks.",TRUE,4,"Transition-retrofit, Transition-standards, Transition-disclosure, Legal-disclosure"
Climate Change Due Diligence Questionnaire for Suppliers,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,"This clause helps mitigate a variety of risks related to climate change and transition. It includes detailed questions about suppliers' climate strategies, targets, and disclosures, which are crucial for managing transition risks and ensuring compliance with relevant standards and regulations. The clause also addresses potential legal risks, such as negligence for failing to disclose or manage climate risks, and penalties for non-compliance. By requiring suppliers to provide information on their climate strategies and performance, it helps reduce the exposure to legal claims and penalties related to climate risks.",TRUE,7,"Transition-retrofit, Transition-standards, Transition-disclosure, Legal-penalties, Legal-negligence, Legal-disclosure, Legal-general"
Climate Checklist for Prospectuses and Other Public Offering Documents,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"The clause focuses on helping issuers of debt securities to assess and disclose climate-related financial impacts, which aligns with the Task Force on Climate-related Financial Disclosures (TCFD) recommendations. This helps mitigate risks related to legal claims resulting from failure to disclose known or foreseeable climate risks (Legal-disclosure) and also addresses transition-related risks by ensuring that issuers are transparent about their climate-related risks and opportunities (Transition-disclosure).",TRUE,2,"Transition-disclosure, Legal-disclosure"
Climate Contract Risk Sharing (ex Force Majeure),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,"This clause helps mitigate transition-related risks by enabling parties to work together to balance financial risks and plan for climate and social impacts, which is relevant to future retrofit obligations and aligning with climate standards. It also addresses legal contract risks by ensuring that parties can manage performance failure or frustration of contract due to climate conditions, and it helps with disclosure by requiring parties to update their climate risk registers and consider the ongoing impact of their agreements on the environment. The clause's broad applicability to various climate-related issues makes it relevant to general legal exposure as well.",TRUE,4,"Transition-retrofit, Legal-contract, Legal-disclosure, Legal-general"
Climate Due Diligence Questionnaire for M&A Transactions,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,"This clause helps mitigate a variety of risks related to the transition to a low-carbon economy and climate-related legal exposure. It includes detailed questions about climate targets, sustainability policies, and climate risk assessments, which are crucial for disclosure and compliance with climate-related standards and regulations. The clause also addresses the integration of climate change into corporate strategy and governance, which can help reduce the risk of legal claims related to climate-related liabilities and non-compliance. Additionally, it covers the embedding of climate considerations into contracts and relationships, which can help manage legal risks related to performance and enforcement of contracts in the face of climate-related challenges.",TRUE,5,"Transition-retrofit, Transition-standards, Transition-disclosure, Legal-disclosure, Legal-general"
Climate Lobbying and Responsible Investments: Policy Requirements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,FALSE,0,
Climate Policy Footprint,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps reduce exposure to disclosure-related risks by requiring the disclosure of a company's climate policy engagement, including lobbying, financing, and sponsorship activities. It ensures that the company's activities are aligned with Paris Agreement goals, which is crucial for meeting regulatory and voluntary standards. By mandating the provision of climate-related information, it also helps manage reputational risks associated with not aligning to Net Zero or carbon standards.",TRUE,2,"Transition-standards, Transition-disclosure"
Climate Purchase Agreement and Underwriting Sponsor Warranties,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,"This clause primarily focuses on incorporating climate-related warranties and undertakings into underwriting, purchase, and sponsor agreements. It ensures that the company's environmental position and climate risk management practices are transparent and aligned with international standards and metrics. This helps mitigate transition-related disclosure risks by requiring the company to disclose its environmental performance and climate risk management practices. It also helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks. Additionally, the clause helps reduce exposure to performance failure or frustration of contract due to climate conditions or adaptation burdens, as it ensures that the company is committed to continuous improvement and alignment with climate goals. Therefore, it applies to transition-disclosure, transition-standards, legal-disclosure, and legal-contract risk categories.",TRUE,4,"Transition-standards, Transition-disclosure, Legal-contract, Legal-disclosure"
Climate Purposed NDA Terms (Confidentiality Agreement),0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate the risk of disclosure-related risks by ensuring that climate change and environmental issues are discussed at the outset of new commercial relationships. It also supports the transition to net zero targets by requiring parties to consider how to achieve the Climate Change Purpose as part of their discussions. This aligns with the transition to environmental standards and targets, thus reducing exposure to risks associated with not aligning to voluntary Net Zero or carbon standards.",TRUE,2,"Transition-standards, Transition-disclosure"
Climate Recitals,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"The clause includes recitals that confirm the parties' intentions to align with the Paris Agreement and pursue decarbonization targets, which helps reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards (Transition-standards). Additionally, the clause addresses the general exposure to transition-related risks, including the pressure to decarbonize and the potential for regulatory uncertainty (Transition-general).",TRUE,2,"Transition-standards, Transition-general"
Climate Standard Transaction Terms,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on embedding sustainability goals and standards into the operations and management of a company, which aligns with transition-retrofit and transition-standards risk categories. It requires the company to adopt sustainability goals, set a framework for sustainability management, and report on its carbon footprint, which helps in managing transition-related risks. Additionally, the clause mandates the inclusion of climate-related disclosures in financial reporting, which is relevant to transition-disclosure risk.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
Climate Standard of Care (Construction),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by requiring contractors and service providers to adhere to best industry practices to mitigate climate risk and ensure that a construction project meets its decarbonization or net-zero objectives. It aligns the project with the goals of the Paris Agreement and ensures that the project can withstand physical climate risks. Additionally, it helps reduce exposure to performance failure or frustration of contract due to climate conditions or adaptation burdens, as it includes provisions for reporting and rectifying any issues related to net-zero objectives. This is reflected in the legal-contract category.",TRUE,3,"Transition-retrofit, Transition-standards, Legal-contract"
Commercial Lease: Alterations (improve environmental performance),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-related risks by encouraging landlords and tenants to collaborate on environmental improvements and align with climate goals, such as net zero targets and the Paris Agreement objectives. It also ensures that tenants can make environmental improvements with the landlord's reasonable consent, which is crucial for retrofitting and aligning with climate standards. Additionally, the clause addresses legal disclosure by requiring tenants to provide evidence of environmental improvements and allowing landlords to request removal of such improvements if they negatively impact the investment value, reducing the risk of legal claims related to undisclosed climate risks.",TRUE,3,"Transition-retrofit, Transition-standards, Legal-disclosure"
Commercial Lease: Repairs and Alterations (circular economy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,FALSE,0,
Condition to Liability Cover for Climate-Related Claims (Commercial Insureds),0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate exposure to transition-related risks by requiring the insured to have a robust net zero transition plan in place before accessing insurance liability cover for climate-related claims. This aligns the insured with voluntary Net Zero standards and regulatory expectations, reducing the risk of future retrofit obligations or disputes. Additionally, it helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks, as the insured must demonstrate they are taking steps towards net zero. The clause also indirectly addresses regulatory compliance by ensuring the insured is prepared for potential future legal or policy changes affecting energy performance and adaptation.",TRUE,4,"Transition-retrofit, Transition-standards, Transition-regulatory, Legal-disclosure"
Conservation Covenant for Soil Preservation and Enhancement,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"The clause helps mitigate general physical climate risks by focusing on soil preservation and enhancement, which can help in defense against flood and drought, and by addressing the long-term management of soil health. It also helps reduce exposure to future retrofit obligations by specifying the actions required to improve soil health and by defining the responsibilities of both the landowner and the responsible body. Additionally, the clause helps reduce exposure to legal risks related to disclosure by requiring the preparation and maintenance of soil health reports, which can be used to demonstrate compliance with the agreement and to disclose relevant climate-related information.",TRUE,3,"Physical-general, Transition-retrofit, Legal-disclosure"
Construction : Procuring Materials and Carbon Budgets,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"This clause helps mitigate risks related to transition standards and regulatory compliance by setting a carbon budget and requiring the contractor to provide information on the climate impacts of materials used in construction. It also helps reduce exposure to legal claims related to disclosure of climate risks and insurance gaps, as it ensures that the contractor is aware of and adheres to the carbon budget, which could prevent claims for non-compliance or failure to disclose known risks.",TRUE,4,"Transition-standards, Transition-regulatory, Legal-insurance, Legal-disclosure"
Coolerplate Clauses (Climate Aligned Boilerplate),0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,"The clause helps mitigate various transition-related risks by embedding climate issues and net zero targets into contracts, which can reduce exposure to future regulatory changes, compliance failures, and disclosure risks. It also includes provisions for consulting impacted parties, which can help manage legal exposure related to climate impacts. The clause ensures that parties are aware of and can disclose their climate strategies and targets, reducing the risk of legal claims related to misrepresentation or omission of relevant climate information. Additionally, the general nature of the clause addresses broader legal and regulatory uncertainties associated with climate change, making it a 'general' risk mitigation tool.",TRUE,6,"Transition-retrofit, Transition-standards, Transition-regulatory, Transition-disclosure, Legal-disclosure, Legal-general"
Debt Finance Clauses (and LMA Facility Amendments) Promoting Sustainable Water Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,FALSE,0,
ESG-Linked Pricing Adjustment for Derivatives Transactions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate risks related to transition disclosure and general transition risks. By introducing sustainability-linked principles into derivatives documents, it encourages transparency and disclosure of ESG performance criteria. This can help reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks (Legal-disclosure). Additionally, it aligns with broader sustainability goals, which is relevant to managing general exposure to transition-related risks (Transition-general), including regulatory uncertainty and decarbonisation pressure.",TRUE,2,"Transition-disclosure, Transition-general"
ESG Aligned Company Articles,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"The clause mentions building ESG (Environmental, Social, and Governance) considerations into a company’s articles of association. This helps in reducing exposure to transition-related risks, including reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards (Transition-standards). Additionally, since the clause is broad and can apply to various aspects of ESG, it also helps in managing general exposure to transition-related risks (Transition-general).",TRUE,2,"Transition-standards, Transition-general"
Employee Climate Engagement Provisions,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on employee engagement and training related to a company's net zero targets and sustainability goals, which aligns with transition standards and the need for future retrofitting to meet these targets. It ensures that employees are aware of and contribute to the company's climate ambitions, thereby reducing exposure to future retrofit obligations and disputes over compliance with net zero standards.",TRUE,2,"Transition-retrofit, Transition-standards"
Employer-Employee Environmental Obligations,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-related risks by encouraging employees to engage in climate-conscious activities, which can contribute to the transition to net zero. It also aligns with voluntary Net Zero or carbon standards by promoting biodiversity, adaptation, and resilience to climate change. Additionally, the clause helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks, as it ensures that the company is aware of and supports employees' climate-related activities.",TRUE,3,"Transition-retrofit, Transition-standards, Legal-disclosure"
Entire Business Net Zero Objectives,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate exposure to future retrofit obligations and disputes by requiring parties to develop and implement a Net Zero Transition Plan, which aligns with the 'Transition-retrofit' category. It also ensures that parties are aligned with voluntary Net Zero or carbon standards, which is covered under the 'Transition-standards' category. Additionally, the clause mandates the public disclosure of climate risks and opportunities, which helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks, fitting into the 'Transition-disclosure' category.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
"Environmental, Social and Governance (ESG) Based Performance Conditions for Employee Incentive Awards",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-related risks by aligning the company's performance with ESG targets, which includes setting Net Zero targets and implementing sustainability practices. It also addresses future retrofit obligations by requiring the company to take specific actions to reduce emissions and improve sustainability. Additionally, the clause helps reduce exposure to legal claims related to disclosure by mandating the company to publish sustainability reports and disclose relevant information to stakeholders, thus reducing the risk of misrepresentation or omission of climate-related information.",TRUE,3,"Transition-retrofit, Transition-standards, Legal-disclosure"
Environmental Business Charter,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,"This clause helps mitigate several transition-related risks by promoting the adoption of Net Zero targets, embedding climate considerations into business practices, and ensuring transparency and disclosure. It aligns with the goals of the Paris Agreement and best practices, which helps reduce exposure to future regulatory changes and reputational risks. The clause also includes measures to ensure that the firm's activities and relationships are aligned with these goals, which can help reduce exposure to legal claims related to non-disclosure or non-compliance. Additionally, the emphasis on reporting and stakeholder engagement helps manage general legal exposure arising from climate risks.",TRUE,5,"Transition-retrofit, Transition-standards, Transition-disclosure, Legal-disclosure, Legal-general"
Environmental Targets for a Limited Partnership Agreement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,FALSE,0,
Facility Agreement Clauses Promoting Sustainability-Linked Loans within the Cement Industry,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate exposure to future retrofit obligations and disputes by clarifying the roles, responsibilities, and performance targets for the borrower in reducing emissions. It also helps reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards, as it sets specific sustainability targets and performance measures. Additionally, it helps reduce exposure to future legal or policy changes affecting energy performance or development rights by ensuring compliance with agreed-upon emissions reduction measures and targets, which could be impacted by regulatory changes.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-regulatory"
Film Production: Carbon Footprint Disclosure,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"This clause helps reduce exposure to disclosure-related risks, such as the failure to disclose the carbon footprint of the production, which is a key aspect of transition risk. It also helps manage general exposure to transition-related risks, including the pressure to decarbonize and the need to align with climate action goals, by encouraging the disclosure of the carbon footprint and raising public awareness. Therefore, it falls under both 'Transition-disclosure' and 'Transition-general' categories.",TRUE,2,"Transition-disclosure, Transition-general"
GHG Emissions Management Plans in Infrastructure and Construction Project Finance,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"This clause is designed to integrate climate change mitigation into infrastructure and construction project finance, which helps reduce exposure to future retrofit obligations, aligns with voluntary Net Zero or carbon standards, and addresses regulatory changes. It also includes provisions for disclosing climate-related information, which helps mitigate risks associated with non-disclosure or misrepresentation of climate risks. The clause ensures that parties involved in the project are required to adopt GHG Emissions Management Plans and provide regular monitoring reports, which helps in staying compliant with regulatory standards and reducing the risk of non-compliance penalties.",TRUE,4,"Transition-retrofit, Transition-standards, Transition-regulatory, Transition-disclosure"
